date,ridership
8/28/2022,1651689
8/29/2022,2836374
8/30/2022,3091873
8/31/2022,3144027
9/1/2022,3114667
9/2/2022,2925306
9/3/2022,2116811
9/4/2022,1802349
9/5/2022,1691887
9/6/2022,3063503
9/7/2022,3444556
9/8/2022,3644407
9/9/2022,3481756
9/10/2022,2356865
9/11/2022,1737251
9/12/2022,3382150
9/13/2022,3618354
9/14/2022,3741978
9/15/2022,3747731
9/16/2022,3502358
9/17/2022,2350888
9/18/2022,1844317
9/19/2022,3369999
9/20/2022,3767024
9/21/2022,3878782
9/22/2022,3732919
9/23/2022,3626482
9/24/2022,2377091
9/25/2022,1759832
9/26/2022,2812853
9/27/2022,3204114
9/28/2022,3712354
9/29/2022,3707751
9/30/2022,3503239
10/1/2022,2032983
10/2/2022,1621851
10/3/2022,3370048
10/4/2022,3397689
10/5/2022,3077346
10/6/2022,3848909
10/7/2022,3591080
10/8/2022,2397249
10/9/2022,1917721
10/10/2022,2556722
10/11/2022,3649405
10/12/2022,3776129
10/13/2022,3682799
10/14/2022,3578772
10/15/2022,2363501
10/16/2022,1773903
10/17/2022,3314497
10/18/2022,3693627
10/19/2022,3814404
10/20/2022,3810901
10/21/2022,3570334
10/22/2022,2430406
10/23/2022,1740520
10/24/2022,3357840
10/25/2022,3712582
10/26/2022,3794534
10/27/2022,3892985
10/28/2022,3624748
10/29/2022,2440601
10/30/2022,1875953
10/31/2022,3410892
11/1/2022,3706707
11/2/2022,3788123
11/3/2022,3802455
11/4/2022,3586358
11/5/2022,2449943
11/6/2022,2116063
11/7/2022,3456868
11/8/2022,3431700
11/9/2022,3772030
11/10/2022,3802230
11/11/2022,2994708
11/12/2022,2431419
11/13/2022,1794024
11/14/2022,3401075
11/15/2022,3713627
11/16/2022,3751773
11/17/2022,3797815
11/18/2022,3539202
11/19/2022,2323449
11/20/2022,1721187
11/21/2022,3363626
11/22/2022,3548882
11/23/2022,3263998
11/24/2022,1382266
11/25/2022,2058658
11/26/2022,1999608
11/27/2022,1476228
11/28/2022,3265971
11/29/2022,3596894
11/30/2022,3568413
12/1/2022,3770495
12/2/2022,3600504
12/3/2022,2291687
12/4/2022,1990479
12/5/2022,3481640
12/6/2022,3753299
12/7/2022,3835333
12/8/2022,3931499
12/9/2022,3710928
12/10/2022,2663493
12/11/2022,1865579
12/12/2022,3466978
12/13/2022,3763568
12/14/2022,3777173
12/15/2022,3726154
12/16/2022,3270016
12/17/2022,2577771
12/18/2022,1967199
12/19/2022,3381411
12/20/2022,3586084
12/21/2022,3563236
12/22/2022,3187083
12/23/2022,2738016
12/24/2022,1411469
12/25/2022,1008452
12/26/2022,1812842
12/27/2022,2729514
12/28/2022,2947028
12/29/2022,3039432
12/30/2022,3063480
12/31/2022,1927101
1/1/2023,1675507
1/2/2023,1938154
1/3/2023,3175777
1/4/2023,3413052
1/5/2023,3428520
1/6/2023,3229858
1/7/2023,2116138
1/8/2023,1610764
1/9/2023,3145743
1/10/2023,3469177
1/11/2023,3508962
1/12/2023,3472709
1/13/2023,3270020
1/14/2023,2072387
1/15/2023,1705804
1/16/2023,2172218
1/17/2023,3451604
1/18/2023,3603344
1/19/2023,3492226
1/20/2023,3375887
1/21/2023,2137169
1/22/2023,1593386
1/23/2023,3135214
1/24/2023,3566756
1/25/2023,3511071
1/26/2023,3629029
1/27/2023,3335372
1/28/2023,2248107
1/29/2023,1637398
1/30/2023,3223530
1/31/2023,3654404
2/1/2023,3682758
2/2/2023,3699932
2/3/2023,3189550
2/4/2023,1742435
2/5/2023,1625375
2/6/2023,3372445
